time,wx,wy,wz
10.411,1.73,-0.56,-0.54
10.413,1.71,-0.6,-0.54
10.416,1.69,-0.64,-0.56
10.418,1.68,-0.69,-0.57
10.421,1.66,-0.74,-0.58
10.423,1.65,-0.8,-0.6
10.425,1.64,-0.86,-0.61
10.427,1.62,-0.93,-0.61
10.43,1.61,-0.98,-0.62
10.433,1.59,-1.03,-0.62
10.435,1.58,-1.07,-0.62
10.437,1.57,-1.1,-0.63
10.44,1.55,-1.12,-0.63
10.442,1.53,-1.13,-0.64
10.444,1.51,-1.14,-0.63
10.447,1.48,-1.14,-0.63
10.449,1.45,-1.14,-0.62
10.451,1.42,-1.15,-0.61
10.453,1.38,-1.15,-0.59
10.456,1.33,-1.16,-0.56
10.458,1.29,-1.17,-0.53
10.46,1.25,-1.17,-0.5
10.463,1.2,-1.18,-0.47
10.465,1.17,-1.17,-0.43
10.467,1.13,-1.16,-0.4
10.47,1.1,-1.15,-0.36
10.472,1.07,-1.12,-0.33
10.474,1.04,-1.09,-0.3
10.477,1.02,-1.06,-0.26
10.479,0.99,-1.02,-0.23
10.481,0.97,-0.99,-0.19
10.484,0.95,-0.95,-0.16
10.486,0.93,-0.92,-0.14
10.489,0.91,-0.9,-0.11
10.491,0.89,-0.88,-0.08
10.493,0.87,-0.87,-0.06
10.496,0.85,-0.86,-0.04
10.497,0.83,-0.85,-0.03
10.501,0.81,-0.84,-0.02
10.502,0.79,-0.84,0
10.504,0.78,-0.84,0.01
10.507,0.76,-0.84,0.02
10.51,0.75,-0.84,0.03
10.511,0.73,-0.84,0.03
10.516,0.72,-0.86,0.03
10.517,0.71,-0.86,0.04
10.519,0.7,-0.85,0.04
10.521,0.69,-0.84,0.04
10.523,0.69,-0.83,0.05
10.526,0.68,-0.81,0.05
10.528,0.68,-0.79,0.05
10.539,0.67,-0.76,0.05
10.539,0.67,-0.73,0.05
10.539,0.66,-0.71,0.06
10.54,0.66,-0.67,0.06
10.54,0.65,-0.64,0.06
10.542,0.65,-0.6,0.07
10.544,0.64,-0.57,0.07
10.547,0.64,-0.53,0.08
10.549,0.63,-0.49,0.09
10.553,0.62,-0.46,0.09
10.555,0.61,-0.43,0.09
10.556,0.59,-0.39,0.1
10.558,0.58,-0.36,0.09
10.56,0.57,-0.33,0.09
10.563,0.55,-0.3,0.09
10.565,0.54,-0.27,0.09
10.568,0.53,-0.24,0.08
10.571,0.52,-0.21,0.07
10.572,0.52,-0.18,0.06
10.574,0.52,-0.17,0.05
10.576,0.51,-0.16,0.04
10.579,0.51,-0.16,0.03
10.582,0.51,-0.16,0.02
10.584,0.52,-0.17,0
10.586,0.53,-0.18,-0.01
10.589,0.54,-0.18,-0.03
10.591,0.55,-0.18,-0.04
10.593,0.57,-0.18,-0.06
10.595,0.58,-0.18,-0.07
10.598,0.6,-0.17,-0.07
10.601,0.61,-0.17,-0.07
10.604,0.62,-0.16,-0.08
10.604,0.63,-0.14,-0.08
10.607,0.64,-0.12,-0.09
10.61,0.64,-0.1,-0.1
10.612,0.64,-0.09,-0.1
10.617,0.65,-0.08,-0.11
10.618,0.65,-0.07,-0.11
10.619,0.65,-0.07,-0.11
10.621,0.65,-0.06,-0.12
10.623,0.64,-0.07,-0.12
10.626,0.64,-0.07,-0.13
10.628,0.63,-0.06,-0.14
10.641,0.63,-0.06,-0.15
10.642,0.63,-0.06,-0.15
10.642,0.62,-0.08,-0.15
10.642,0.62,-0.09,-0.16
10.642,0.62,-0.1,-0.17
10.642,0.62,-0.11,-0.17
10.645,0.61,-0.12,-0.18
10.647,0.61,-0.12,-0.19
10.649,0.61,-0.12,-0.19
10.652,0.61,-0.13,-0.2
10.655,0.6,-0.14,-0.2
10.656,0.6,-0.14,-0.2
10.658,0.59,-0.15,-0.2
10.66,0.59,-0.15,-0.2
10.663,0.58,-0.15,-0.2
10.665,0.57,-0.14,-0.19
10.667,0.57,-0.14,-0.19
10.67,0.56,-0.14,-0.19
10.672,0.56,-0.12,-0.19
10.674,0.55,-0.11,-0.18
10.677,0.56,-0.08,-0.18
10.679,0.56,-0.06,-0.18
10.681,0.56,-0.05,-0.17
10.684,0.56,-0.04,-0.16
10.688,0.56,-0.04,-0.16
10.689,0.56,-0.03,-0.15
10.691,0.55,-0.03,-0.15
10.693,0.55,-0.03,-0.14
10.695,0.55,-0.04,-0.13
10.697,0.54,-0.04,-0.12
10.7,0.54,-0.05,-0.12
10.703,0.54,-0.06,-0.11
10.704,0.53,-0.07,-0.1
10.707,0.52,-0.08,-0.1
10.709,0.52,-0.08,-0.09
10.712,0.52,-0.09,-0.08
10.714,0.5,-0.1,-0.07
10.716,0.48,-0.12,-0.06
10.719,0.46,-0.14,-0.05
10.721,0.44,-0.16,-0.05
10.723,0.42,-0.18,-0.04
10.725,0.4,-0.21,-0.03
10.728,0.38,-0.23,-0.02
10.731,0.35,-0.24,-0.02
10.733,0.33,-0.26,-0.01
10.735,0.32,-0.29,0
10.737,0.3,-0.31,0.01
10.74,0.28,-0.33,0.02
10.742,0.27,-0.36,0.02
10.744,0.26,-0.38,0.02
10.75,0.25,-0.4,0.03
10.75,0.24,-0.42,0.03
10.751,0.23,-0.43,0.04
10.755,0.22,-0.45,0.04
10.756,0.22,-0.47,0.05
10.761,0.21,-0.49,0.06
10.761,0.2,-0.51,0.07
10.776,0.18,-0.53,0.08
10.777,0.17,-0.55,0.09
10.777,0.16,-0.56,0.1
10.777,0.15,-0.57,0.11
10.777,0.14,-0.57,0.12
10.777,0.13,-0.57,0.14
10.777,0.12,-0.57,0.16
10.779,0.11,-0.56,0.17
10.781,0.1,-0.55,0.19
10.784,0.09,-0.55,0.2
10.786,0.08,-0.55,0.21
10.79,0.08,-0.54,0.23
10.791,0.08,-0.53,0.23
10.793,0.07,-0.53,0.25
10.795,0.07,-0.53,0.26
10.798,0.07,-0.52,0.27
10.8,0.06,-0.53,0.28
10.803,0.05,-0.54,0.29
10.805,0.05,-0.54,0.29
10.807,0.04,-0.55,0.3
10.809,0.02,-0.55,0.32
10.811,0.01,-0.53,0.33
10.814,0,-0.51,0.34
10.816,-0.01,-0.52,0.35
10.82,-0.03,-0.53,0.35
10.821,-0.04,-0.55,0.35
10.823,-0.05,-0.58,0.35
10.826,-0.06,-0.6,0.35
10.828,-0.07,-0.61,0.35
10.831,-0.07,-0.63,0.35
10.832,-0.07,-0.65,0.36
10.835,-0.06,-0.66,0.36
10.837,-0.05,-0.68,0.37
10.839,-0.04,-0.7,0.37
10.842,-0.03,-0.72,0.37
10.845,-0.02,-0.73,0.37
10.847,-0.01,-0.74,0.37
10.849,-0.01,-0.74,0.36
10.853,0,-0.72,0.34
10.855,0.01,-0.68,0.33
10.856,0.01,-0.63,0.31
10.858,0,-0.55,0.29
10.861,-0.01,-0.45,0.27
10.863,-0.02,-0.34,0.25
10.865,-0.04,-0.22,0.23
10.867,-0.07,-0.1,0.22
10.871,-0.1,0.02,0.21
10.872,-0.13,0.13,0.21
10.875,-0.15,0.24,0.23
10.877,-0.15,0.33,0.26
10.879,-0.15,0.41,0.3
10.886,-0.13,0.47,0.36
10.886,-0.11,0.5,0.41
10.887,-0.09,0.53,0.45
10.889,-0.06,0.55,0.48
10.896,-0.03,0.57,0.51
10.897,0,0.58,0.54
10.897,0.02,0.58,0.56
10.908,0.03,0.6,0.58
10.908,0.02,0.63,0.61
10.908,-0.01,0.69,0.63
10.909,-0.06,0.78,0.66
10.909,-0.13,0.9,0.69
10.909,-0.23,1.07,0.72
10.912,-0.36,1.27,0.75
10.914,-0.52,1.5,0.79
10.916,-0.7,1.75,0.82
10.919,-0.91,2.01,0.86
10.921,-1.13,2.25,0.9
10.923,-1.34,2.44,0.93
10.925,-1.54,2.56,0.94
10.928,-1.72,2.61,0.95
10.931,-1.87,2.6,0.93
10.935,-2,2.52,0.91
10.936,-2.1,2.39,0.87
10.938,-2.19,2.21,0.82
10.939,-2.26,2.01,0.75
10.942,-2.31,1.77,0.68
10.945,-2.35,1.52,0.6
10.946,-2.36,1.26,0.52
10.949,-2.36,1.01,0.44
10.951,-2.33,0.78,0.37
10.955,-2.28,0.58,0.31
10.956,-2.21,0.43,0.25
10.958,-2.12,0.31,0.2
10.96,-2.02,0.25,0.16
10.963,-1.93,0.25,0.14
10.965,-1.84,0.3,0.14
10.967,-1.76,0.4,0.15
10.971,-1.69,0.55,0.17
10.972,-1.64,0.74,0.22
10.974,-1.61,0.95,0.27
10.977,-1.59,1.18,0.34
10.979,-1.57,1.41,0.42
10.981,-1.56,1.64,0.5
10.984,-1.56,1.82,0.59
10.988,-1.55,1.95,0.69
10.99,-1.54,2.01,0.79
10.991,-1.52,2.03,0.89
10.993,-1.5,2,0.97
10.995,-1.48,1.93,1.04
10.998,-1.45,1.84,1.11
11,-1.42,1.73,1.17
11.002,-1.39,1.6,1.21
11.005,-1.37,1.46,1.25
11.007,-1.35,1.31,1.27
11.01,-1.33,1.17,1.29
11.012,-1.31,1.03,1.29
11.014,-1.31,0.92,1.29
11.016,-1.29,0.81,1.28
11.02,-1.29,0.72,1.26
11.021,-1.28,0.65,1.23
11.024,-1.27,0.58,1.2
11.026,-1.26,0.52,1.16
11.029,-1.26,0.48,1.12
11.031,-1.26,0.46,1.07
11.035,-1.26,0.45,1.03
11.036,-1.27,0.45,0.98
11.038,-1.28,0.47,0.93
11.04,-1.29,0.51,0.88
11.042,-1.31,0.56,0.83
11.044,-1.33,0.62,0.78
11.047,-1.35,0.69,0.75
11.063,-1.38,0.74,0.73
11.064,-1.42,0.77,0.71
11.064,-1.46,0.81,0.68
11.064,-1.5,0.85,0.63
11.064,-1.53,0.88,0.59
11.064,-1.55,0.92,0.56
11.065,-1.58,0.96,0.52
11.067,-1.6,0.99,0.49
11.068,-1.61,1.02,0.46
11.071,-1.62,1.08,0.43
11.073,-1.63,1.14,0.4
11.074,-1.64,1.2,0.38
11.077,-1.64,1.25,0.36
11.079,-1.64,1.3,0.33
11.082,-1.64,1.33,0.31
11.084,-1.64,1.36,0.29
11.087,-1.63,1.38,0.28
11.089,-1.62,1.37,0.27
11.091,-1.62,1.34,0.27
11.093,-1.61,1.31,0.27
11.096,-1.6,1.28,0.26
11.098,-1.58,1.25,0.24
11.1,-1.56,1.21,0.23
11.104,-1.53,1.16,0.22
11.107,-1.5,1.11,0.21
11.107,-1.47,1.05,0.2
11.109,-1.44,0.99,0.19
11.112,-1.4,0.92,0.18
11.114,-1.35,0.86,0.18
11.117,-1.31,0.82,0.18
11.12,-1.26,0.76,0.18
11.122,-1.22,0.73,0.18
11.123,-1.18,0.69,0.19
11.126,-1.15,0.65,0.2
11.128,-1.12,0.62,0.21
11.131,-1.09,0.58,0.21
11.135,-1.07,0.56,0.23
11.139,-1.05,0.55,0.24
11.14,-1.03,0.53,0.25
11.14,-1.02,0.53,0.26
11.142,-1.01,0.53,0.27
11.145,-1,0.54,0.28
11.147,-1,0.55,0.29
11.157,-1.01,0.56,0.29
11.157,-1.01,0.57,0.3
11.157,-1.02,0.59,0.3
11.157,-1.02,0.6,0.3
11.159,-1.03,0.63,0.3
11.161,-1.04,0.65,0.3
11.163,-1.04,0.67,0.29
11.166,-1.04,0.7,0.29
11.168,-1.04,0.73,0.29
11.172,-1.04,0.76,0.29
11.173,-1.04,0.8,0.28
11.175,-1.04,0.82,0.28
11.177,-1.05,0.85,0.27
11.179,-1.05,0.86,0.26
11.182,-1.06,0.87,0.26
11.184,-1.06,0.88,0.25
11.186,-1.06,0.89,0.25
11.189,-1.06,0.9,0.24
11.191,-1.05,0.91,0.24
11.193,-1.05,0.92,0.23
11.196,-1.04,0.93,0.22
11.198,-1.03,0.94,0.22
11.2,-1.02,0.95,0.21
11.203,-1.01,0.96,0.2
11.205,-1,0.96,0.2
11.207,-0.99,0.96,0.2
11.21,-0.98,0.95,0.2
11.213,-0.99,0.96,0.2
11.214,-0.98,0.95,0.2
11.217,-0.99,0.95,0.19
11.219,-0.98,0.95,0.19
11.221,-0.98,0.95,0.18
11.224,-0.98,0.94,0.18
11.226,-0.99,0.93,0.17
11.228,-0.99,0.92,0.16
11.231,-0.99,0.9,0.15
11.233,-0.99,0.88,0.14
11.235,-0.99,0.88,0.13
11.238,-0.99,0.86,0.12
11.24,-1,0.84,0.11
11.242,-1,0.83,0.1
11.244,-1.01,0.8,0.09
11.247,-1.02,0.78,0.09
11.254,-1.03,0.76,0.08
11.254,-1.04,0.73,0.07
11.258,-1.06,0.72,0.06
11.258,-1.07,0.7,0.06
11.259,-1.09,0.7,0.06
11.261,-1.1,0.7,0.06
11.263,-1.12,0.7,0.06
11.275,-1.14,0.71,0.07
11.276,-1.15,0.72,0.07
11.276,-1.16,0.73,0.07
11.276,-1.18,0.76,0.08
11.276,-1.19,0.78,0.08
11.277,-1.2,0.81,0.08
11.28,-1.21,0.84,0.09
