time,wx,wy,wz
0.433,-1.06,-0.29,0.01
0.434,-1.10,-0.34,0.03
0.436,-1.11,-0.41,0.03
0.439,-1.13,-0.44,0.01
0.441,-1.14,-0.45,-0.02
0.443,-1.18,-0.44,-0.07
0.445,-1.22,-0.42,-0.11
0.448,-1.28,-0.39,-0.15
0.450,-1.35,-0.31,-0.18
0.452,-1.42,-0.22,-0.20
0.455,-1.49,-0.11,-0.21
0.457,-1.56,0.03,-0.23
0.459,-1.61,0.19,-0.26
0.462,-1.65,0.37,-0.29
0.464,-1.68,0.53,-0.32
0.467,-1.71,0.67,-0.33
0.469,-1.73,0.79,-0.34
0.471,-1.73,0.91,-0.34
0.474,-1.73,1.01,-0.35
0.476,-1.73,1.09,-0.36
0.478,-1.71,1.16,-0.37
0.481,-1.70,1.22,-0.39
0.485,-1.67,1.28,-0.42
0.485,-1.64,1.33,-0.46
0.487,-1.61,1.35,-0.51
0.490,-1.58,1.38,-0.57
0.492,-1.55,1.39,-0.63
0.494,-1.51,1.38,-0.70
0.497,-1.48,1.37,-0.77
0.500,-1.44,1.36,-0.85
0.501,-1.40,1.35,-0.92
0.504,-1.36,1.37,-0.99
0.506,-1.34,1.37,-1.06
0.508,-1.30,1.36,-1.12
0.511,-1.26,1.34,-1.19
0.514,-1.24,1.32,-1.25
0.515,-1.21,1.28,-1.31
0.518,-1.19,1.26,-1.37
0.520,-1.16,1.22,-1.42
0.522,-1.12,1.20,-1.46
0.525,-1.08,1.17,-1.49
0.527,-1.05,1.15,-1.52
0.529,-1.01,1.14,-1.54
0.532,-0.97,1.13,-1.55
0.534,-0.94,1.13,-1.55
0.536,-0.91,1.13,-1.54
0.539,-0.89,1.13,-1.52
0.541,-0.88,1.13,-1.51
0.544,-0.87,1.13,-1.49
0.546,-0.87,1.12,-1.47
0.548,-0.89,1.12,-1.45
0.552,-0.91,1.14,-1.44
0.553,-0.94,1.14,-1.43
0.555,-0.98,1.15,-1.43
0.557,-1.03,1.17,-1.43
0.559,-1.09,1.19,-1.43
0.562,-1.14,1.22,-1.44
0.564,-1.20,1.26,-1.46
0.568,-1.27,1.30,-1.48
0.569,-1.33,1.36,-1.49
0.571,-1.39,1.42,-1.51
0.574,-1.45,1.47,-1.52
0.576,-1.50,1.52,-1.52
0.578,-1.54,1.56,-1.53
0.580,-1.58,1.59,-1.53
0.584,-1.62,1.61,-1.54
0.586,-1.64,1.61,-1.54
0.587,-1.66,1.61,-1.55
0.590,-1.67,1.59,-1.55
0.592,-1.68,1.57,-1.56
0.595,-1.69,1.54,-1.57
0.597,-1.69,1.50,-1.58
0.600,-1.70,1.44,-1.59
0.602,-1.71,1.41,-1.61
0.604,-1.72,1.39,-1.62
0.606,-1.74,1.35,-1.61
0.608,-1.76,1.31,-1.61
0.611,-1.79,1.25,-1.60
0.614,-1.80,1.19,-1.58
0.615,-1.82,1.13,-1.56
0.618,-1.82,1.05,-1.54
0.620,-1.83,0.97,-1.53
0.622,-1.80,0.91,-1.50
0.625,-1.77,0.83,-1.44
0.627,-1.73,0.72,-1.39
0.629,-1.68,0.63,-1.36
0.632,-1.64,0.55,-1.34
0.634,-1.59,0.49,-1.30
0.636,-1.53,0.45,-1.23
0.645,-1.48,0.44,-1.14
0.646,-1.43,0.43,-1.04
0.646,-1.40,0.40,-0.95
0.646,-1.35,0.41,-0.87
0.648,-1.34,0.39,-0.80
0.651,-1.33,0.39,-0.76
0.653,-1.34,0.39,-0.73
0.655,-1.36,0.40,-0.71
0.658,-1.41,0.41,-0.68
0.660,-1.45,0.47,-0.66
0.662,-1.51,0.52,-0.63
0.664,-1.56,0.57,-0.62
0.667,-1.63,0.65,-0.59
0.669,-1.70,0.72,-0.58
0.671,-1.77,0.78,-0.59
0.675,-1.86,0.87,-0.61
0.678,-1.93,0.99,-0.64
0.678,-2.03,1.09,-0.66
0.681,-2.10,1.19,-0.67
0.683,-2.18,1.30,-0.67
0.685,-2.25,1.36,-0.68
0.687,-2.34,1.42,-0.69
0.690,-2.41,1.49,-0.69
0.692,-2.49,1.53,-0.70
0.695,-2.56,1.57,-0.70
0.697,-2.63,1.61,-0.70
0.700,-2.68,1.63,-0.71
0.701,-2.74,1.64,-0.70
0.704,-2.78,1.66,-0.68
0.706,-2.83,1.65,-0.66
0.708,-2.88,1.62,-0.63
0.711,-2.93,1.59,-0.59
0.714,-2.99,1.54,-0.53
0.715,-3.03,1.48,-0.47
0.718,-3.05,1.41,-0.40
0.720,-3.08,1.35,-0.31
0.722,-3.12,1.27,-0.22
0.725,-3.12,1.21,-0.13
0.727,-3.13,1.14,-0.03
0.729,-3.13,1.08,0.08
0.732,-3.13,1.03,0.18
0.735,-3.10,1.00,0.27
0.736,-3.07,0.96,0.37
0.739,-3.03,0.94,0.46
0.741,-3.01,0.91,0.54
0.743,-2.96,0.91,0.62
0.746,-2.90,0.90,0.68
0.748,-2.85,0.91,0.73
0.751,-2.78,0.93,0.77
0.753,-2.74,0.97,0.79
0.755,-2.68,1.05,0.81
0.757,-2.62,1.13,0.80
0.760,-2.56,1.23,0.78
0.762,-2.52,1.35,0.75
0.764,-2.48,1.48,0.71
0.767,-2.43,1.62,0.66
0.769,-2.40,1.76,0.60
0.771,-2.37,1.89,0.54
0.774,-2.35,2.04,0.47
0.776,-2.32,2.19,0.41
0.778,-2.30,2.32,0.35
0.780,-2.28,2.47,0.29
0.783,-2.28,2.61,0.24
0.785,-2.27,2.74,0.19
0.788,-2.26,2.85,0.15
0.790,-2.26,2.94,0.12
0.792,-2.24,3.00,0.10
0.795,-2.23,3.06,0.08
0.797,-2.21,3.07,0.07
0.800,-2.20,3.07,0.08
0.802,-2.20,3.06,0.11
0.804,-2.19,3.04,0.15
0.806,-2.17,2.99,0.19
0.808,-2.14,2.95,0.25
0.811,-2.10,2.90,0.31
0.814,-2.05,2.83,0.36
0.815,-2.01,2.74,0.43
0.818,-1.96,2.66,0.49
0.820,-1.92,2.54,0.56
0.823,-1.90,2.44,0.63
0.825,-1.84,2.35,0.69
0.827,-1.79,2.28,0.74
0.830,-1.73,2.21,0.77
0.832,-1.67,2.16,0.81
0.835,-1.64,2.10,0.84
0.836,-1.60,2.08,0.86
0.839,-1.58,2.06,0.89
0.841,-1.55,2.06,0.90
0.843,-1.54,2.06,0.91
0.846,-1.54,2.08,0.92
0.848,-1.53,2.10,0.91
0.851,-1.52,2.13,0.92
0.853,-1.53,2.16,0.91
0.855,-1.52,2.20,0.88
0.857,-1.52,2.25,0.87
0.860,-1.53,2.29,0.85
0.862,-1.53,2.34,0.83
0.864,-1.54,2.37,0.81
0.867,-1.54,2.41,0.79
0.869,-1.55,2.44,0.76
0.871,-1.56,2.47,0.73
0.875,-1.57,2.47,0.70
0.876,-1.56,2.47,0.69
0.878,-1.59,2.44,0.69
0.881,-1.60,2.40,0.70
0.883,-1.61,2.37,0.71
0.885,-1.63,2.31,0.73
0.888,-1.63,2.27,0.76
0.890,-1.62,2.21,0.80
0.892,-1.61,2.16,0.85
0.895,-1.60,2.11,0.90
0.897,-1.57,2.05,0.94
0.900,-1.52,1.97,0.98
0.902,-1.49,1.91,1.02
0.904,-1.44,1.84,1.05
0.906,-1.39,1.77,1.08
0.909,-1.33,1.69,1.11
0.911,-1.28,1.60,1.14
0.913,-1.22,1.53,1.18
0.916,-1.17,1.47,1.21
0.918,-1.11,1.44,1.25
0.920,-1.05,1.42,1.28
0.922,-0.99,1.40,1.31
0.925,-0.93,1.39,1.32
0.927,-0.87,1.39,1.33
0.930,-0.82,1.38,1.33
0.932,-0.77,1.38,1.33
0.935,-0.74,1.37,1.33
0.937,-0.72,1.34,1.34
0.939,-0.68,1.36,1.33
0.941,-0.65,1.39,1.32
0.943,-0.60,1.44,1.31
0.946,-0.58,1.48,1.31
0.948,-0.54,1.54,1.30
0.951,-0.50,1.60,1.28
0.953,-0.47,1.67,1.26
0.955,-0.44,1.71,1.23
0.957,-0.42,1.77,1.21
0.960,-0.41,1.81,1.20
0.965,-0.40,1.83,1.20
0.965,-0.38,1.85,1.22
0.967,-0.34,1.88,1.24
0.970,-0.32,1.91,1.28
0.971,-0.30,1.92,1.31
0.975,-0.25,1.94,1.33
0.976,-0.21,1.96,1.37
0.978,-0.16,1.99,1.39
0.981,-0.12,2.02,1.42
0.984,-0.06,2.06,1.44
0.986,-0.01,2.08,1.47
0.988,0.05,2.11,1.48
0.990,0.07,2.10,1.51
0.992,0.07,2.07,1.55
0.995,0.11,2.08,1.58
0.997,0.17,2.13,1.59
0.999,0.24,2.18,1.58
1.002,0.30,2.21,1.59
1.004,0.37,2.22,1.59
1.006,0.42,2.21,1.60
1.009,0.48,2.17,1.59
1.011,0.55,2.13,1.58
1.013,0.61,2.09,1.56
1.016,0.67,2.05,1.54
1.019,0.74,2.02,1.52
1.020,0.80,1.98,1.50
1.023,0.86,1.92,1.49
1.025,0.92,1.85,1.48
1.027,0.97,1.77,1.46
1.029,1.02,1.68,1.44
1.032,1.07,1.59,1.42
1.035,1.12,1.49,1.39
1.037,1.16,1.38,1.37
