time,wx,wy,wz
0.409,1.22,0.22,-0.94
0.411,1.07,0.07,-0.97
0.414,0.92,-0.07,-0.98
0.416,0.80,-0.20,-0.99
0.418,0.68,-0.30,-0.98
0.421,0.58,-0.38,-0.97
0.423,0.48,-0.45,-0.96
0.425,0.40,-0.51,-0.94
0.428,0.33,-0.56,-0.92
0.430,0.26,-0.62,-0.89
0.433,0.20,-0.69,-0.87
0.435,0.15,-0.77,-0.85
0.437,0.10,-0.87,-0.83
0.440,0.07,-0.98,-0.81
0.442,0.05,-1.09,-0.78
0.444,0.05,-1.19,-0.75
0.446,0.05,-1.27,-0.72
0.449,0.06,-1.33,-0.68
0.451,0.07,-1.39,-0.64
0.453,0.10,-1.45,-0.60
0.456,0.14,-1.51,-0.56
0.458,0.18,-1.58,-0.52
0.462,0.21,-1.64,-0.50
0.463,0.25,-1.70,-0.48
0.465,0.27,-1.79,-0.46
0.467,0.30,-1.86,-0.45
0.469,0.32,-1.95,-0.44
0.472,0.34,-2.05,-0.44
0.474,0.34,-2.15,-0.45
0.477,0.35,-2.25,-0.46
0.480,0.35,-2.34,-0.49
0.483,0.35,-2.45,-0.51
0.484,0.35,-2.55,-0.54
0.486,0.35,-2.64,-0.57
0.488,0.35,-2.75,-0.61
0.490,0.34,-2.87,-0.65
0.493,0.33,-3.00,-0.69
0.495,0.32,-3.13,-0.73
0.497,0.31,-3.27,-0.77
0.500,0.30,-3.42,-0.82
0.502,0.29,-3.56,-0.86
0.504,0.28,-3.70,-0.90
0.507,0.28,-3.84,-0.94
0.513,0.28,-4.00,-0.98
0.513,0.29,-4.16,-1.02
0.514,0.29,-4.33,-1.06
0.516,0.30,-4.53,-1.10
0.519,0.31,-4.72,-1.15
0.521,0.33,-4.93,-1.20
0.523,0.34,-5.13,-1.25
0.525,0.36,-5.33,-1.31
0.528,0.38,-5.53,-1.37
0.530,0.40,-5.73,-1.43
0.533,0.42,-5.93,-1.50
0.535,0.44,-6.13,-1.58
0.537,0.45,-6.34,-1.66
0.540,0.46,-6.54,-1.75
0.542,0.48,-6.73,-1.84
0.544,0.48,-6.90,-1.93
0.546,0.49,-7.04,-2.03
0.549,0.51,-7.15,-2.13
0.551,0.52,-7.23,-2.22
0.553,0.52,-7.22,-2.31
0.556,0.46,-7.00,-2.40
0.558,0.34,-6.58,-2.48
0.560,0.21,-6.15,-2.55
0.563,0.12,-5.85,-2.62
0.566,0.07,-5.62,-2.67
0.567,0.02,-5.38,-2.68
0.570,-0.03,-5.10,-2.60
0.572,-0.11,-4.84,-2.38
0.574,-0.19,-4.61,-2.08
